student_id,final_score,scholarship,female,baseline_score,parent_edu,age,study_hours_after
1,69.16217723913265,0,0,-0.1987300635301696,14,20,6.789072878299572
2,68.10161585050268,0,0,0.3079374203413098,13,24,9.79168616537211
3,80.57276804086227,1,1,0.7720625993031311,13,20,8.657892706367027
4,74.09269938716587,1,1,-0.3243671474051976,16,18,7.272437999295807
5,68.95900464654243,0,1,0.6974805266489162,11,25,8.556917022681077
6,76.09234898257297,1,0,2.1170968856275407,13,18,9.480440111419746
7,71.95858367426987,1,1,-0.4598656953193251,15,18,8.535113131852565
8,60.544699198932456,0,0,0.21579816457259082,11,25,7.496214762801927
9,73.41448795470617,1,0,0.03889804988837907,17,30,13.762007301294176
10,62.93428943552949,0,1,-0.20343893813268812,13,20,5.469629630863343
11,74.62801276134995,1,0,0.8569052949108278,18,18,10.381408740358369
12,73.54640675948987,0,1,1.8055360437736867,15,24,7.9609657832865715
13,52.86206502108892,1,1,-0.8972369088750879,14,22,9.329926562163964
14,76.87380279526106,1,0,0.8316817484289971,12,20,9.048408009033789
15,62.78702434638329,1,0,0.8015363904607723,9,19,7.3844269192371845
16,61.20866709253558,1,0,-0.5766933349861775,14,26,7.833407944646075
17,63.23730164535949,0,1,-0.04565610440876303,14,25,5.453659504056958
18,62.1303489743008,1,1,-1.0787147465229925,13,27,7.179078576621248
19,66.50834909848405,0,0,1.9958368645633418,15,28,8.146994485625074
20,65.45127286891383,0,0,-0.6670299792130713,15,22,10.267324571280803
21,64.13742152469456,1,1,-0.4572016872184685,18,22,7.24640212063137
22,64.30638528499945,1,0,0.39064150563662725,16,18,6.1319544838677125
23,74.35217738137975,1,0,0.23576000904241975,16,19,8.19099268964955
24,59.81806047331607,0,0,-1.1794453967731633,12,24,6.89474550309482
25,60.679100583969785,0,0,-0.5586769170102319,16,28,8.737617596113152
26,63.66127056112294,1,1,-0.6399704712018385,13,29,9.640776547510054
27,60.04205918038813,1,0,-1.3826368586909676,11,19,12.607079134345703
28,79.38393126738431,1,1,0.6626057953831882,18,22,9.03251282067517
29,75.62215621791162,1,0,0.5498291100112777,16,28,7.600945205400835
30,77.18873236937675,1,0,0.6264834411426468,16,23,12.384006185178592
31,66.89821768156857,0,0,-0.33616752281097056,14,20,5.772896284000009
32,67.74476434538309,1,0,-0.7383121351436575,14,21,9.91600328407701
33,74.98182529739366,1,1,0.6669646900501986,14,24,9.91256827891441
34,73.41749110314473,1,0,-0.2997954710471866,8,20,10.883408146533462
35,83.12018547085965,1,1,1.23063825526999,14,20,10.758443058031249
36,66.1740115982065,0,1,0.8234012275258067,16,28,3.8971310833092314
37,77.27841782403405,1,0,0.7679557849539279,13,24,10.069795774019099
38,83.38242300693668,0,0,0.403032381981262,16,24,8.306697417887484
39,59.50072679043866,1,1,-1.3751649439030997,17,30,5.604819193234478
40,56.24619057360829,1,0,-0.7789446873169096,17,29,8.543713773921207
41,66.37842467498639,0,0,-0.4829823650448104,12,27,6.740600518011404
42,53.77480458099003,0,0,-0.8003413248315495,11,26,8.266022598569485
43,71.83651818360697,0,1,0.33879880092609865,16,29,5.781155275830321
44,72.34855934386529,1,1,-0.9775224140001494,16,28,6.143685400453119
45,75.48754622546134,1,0,1.297069879723934,13,18,10.42509237725582
46,73.84722813570977,1,0,-0.27220387167945626,10,28,7.435234127887262
47,67.36375350269168,1,1,-1.5661086547719132,14,23,9.055990201449745
48,77.83811670087998,1,0,-0.13821875320177437,14,26,8.743424975827558
49,65.46444937509328,1,1,-1.0536911425280855,10,20,6.033202088639158
50,66.00257485529329,0,1,-0.07071287325013927,13,26,3.977763487642294
51,71.79734915309994,0,0,-0.04051293236856313,16,25,3.535439381200721
52,64.49311401524542,0,0,-0.2710159719641355,10,30,9.175078622311096
53,70.08697358420827,1,0,0.6968255742824337,19,19,9.423422204736397
54,68.12907035407197,1,0,1.0110838077250317,14,28,8.017001365064056
55,65.07453713006662,0,1,-0.31301023164219577,17,27,5.483633238067241
56,67.3311536965036,1,1,-1.2063854544717199,15,19,5.17061406662137
57,73.81761388815681,0,1,1.6731419069653266,16,28,4.714506355134053
58,86.24194574454398,0,1,2.2606134199851566,18,20,11.164200487805868
59,75.03500907072583,1,0,1.6277751688756097,10,26,9.899602820190013
60,57.66602219101775,0,0,-0.20715847915178123,10,29,10.09839016335518
61,71.83572824876794,0,0,2.1848608108319767,11,28,4.31831846599356
62,61.96098166623157,1,1,-0.3309508577624764,12,19,8.234193125025126
63,55.48115926106477,0,0,-1.396824089679882,14,26,5.776749653614837
64,75.83790919716422,0,1,0.82006280133482,16,27,7.954248169686365
65,64.24925945922664,1,1,-1.4718637487110025,14,23,5.266452097595991
66,81.6298208121683,1,1,0.9047386202362931,20,27,9.362150249186135
67,67.96463867412197,1,1,-0.9492472917849245,17,28,7.103220615308587
68,66.96084543678248,1,1,0.6593909899405235,16,22,8.294047718861588
69,67.9993714057203,0,0,-1.0261511997014385,16,21,4.934246643208047
70,59.28683173534481,0,1,0.41489965746647156,10,30,10.563743004297683
71,66.11601096221553,0,1,-0.39680844513441527,17,29,6.3974666896605905
72,52.14069218483036,0,1,-0.4264395057615523,14,24,6.187630102447776
73,78.18344235265768,1,1,0.775349047970862,18,22,11.114605443632612
74,58.917703152654134,0,1,-0.5097901064454906,14,24,7.199196921382617
75,50.565799133885655,0,0,-1.6975038237403492,17,24,2.91747577093163
76,56.245131528833014,0,0,-1.5050297578529481,12,30,6.005973077427383
77,65.50466795093801,1,0,-0.27805400661266755,14,20,7.410607058858584
78,66.21520674377814,1,1,-1.5427234396759322,11,28,10.473906076710652
79,67.47806346421012,0,0,0.26233702799061087,17,28,4.782568696710514
80,68.87247745081777,0,1,1.8437714390437234,12,27,9.324508403193914
81,69.89133362239738,0,0,0.3060153503218753,14,25,7.105585100819077
82,73.15293780957114,1,0,0.4549637498050109,13,25,13.01310779828343
83,67.32947361198306,0,1,1.1264809791770931,13,22,7.705499792389055
84,66.17939247993783,0,1,-0.1631383784743266,17,21,8.362986440110452
85,68.71293626726836,1,1,-0.5044077219238038,19,18,7.5689480853066415
86,49.57989974878856,1,1,-3.2814785202430183,14,19,3.7817388512213377
87,65.1748464375173,1,0,-0.2562078383787165,14,22,8.020206329289941
88,70.22367778574072,0,1,0.48542360962943343,15,25,11.11289439997365
89,70.60337761776472,1,1,0.32428068314214137,15,18,10.481978898133617
90,73.86684964331232,0,1,2.313438104004998,13,20,7.495633545110774
91,58.49650840744614,0,0,-0.8940255154831279,11,18,7.511157503352541
92,70.45070219121746,0,1,1.4378241779371912,11,19,7.442495193297597
93,55.66729673384511,0,0,0.06547032247040672,14,20,7.629000798865221
94,62.92974420076896,0,1,-1.259374180118897,9,22,4.825495857014598
95,64.62951355190438,0,0,1.0232123587784727,13,20,8.952389319463181
96,72.5695110040799,1,0,0.49150235199974474,13,23,12.767638723505648
97,74.85615852994313,1,1,0.9519170029817796,11,25,12.120210521730767
98,51.9767883417301,0,0,-1.6026151724480666,13,26,6.008306636445663
99,70.41715099609526,1,1,1.4964859792968552,13,28,9.948120384758923
100,81.28608543839492,1,1,0.8450352373066561,19,24,9.34819487651043
101,48.417202015937036,0,0,-0.7191993735833437,8,18,2.3173906649104197
102,69.10570652768114,0,1,1.9234391586476487,14,21,11.54357434375056
103,66.41258497758943,0,1,0.1700687089994796,10,30,8.85868708046198
104,64.12507816994935,0,1,-0.7579643332534243,18,25,6.054194781427674
105,81.60046695384852,1,0,1.3091889089291309,9,20,13.828202599713428
106,64.41750626603934,0,1,-0.2383147813134341,20,23,7.749076845715967
107,61.61129466453223,0,1,-0.3782976904108417,12,25,10.70766648613107
